"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
e_income,enrollment_questionnaire,,radio,"A15. Which category best describes your total combined family income from all sources for all members of your household during 2019, before taxes? ","1,Less than $10,000|2,$10,000 to less than $15,000|3,$15,000 to less than $20,000|4,$20,000 to less than $25,000|5,$25,000 to less than $35,000|6,$35,000 to less than $50,000|7,$50,000 to less than $75,000|8,$75,000 to less than $100,000|9,$100,000 to less than $150,000|10,$150,000 to less than $200,000|11,$200,000 or more|88,Unknown|99,Decline to respond",,,,,,[s_consent]='1',,,,,,
e_health_overall,enrollment_questionnaire,"
<div style=""font-size: 1.5em"">Past Medical History</div>

",text,"A16. We would like to ask you about your overall health. We would like to know how good or bad your health has been over the past 7 days. Picture a scale numbered from 0 to 100. 100 means the best health you can imagine. 0 means the worst health you can imagine.
Please imagine where you would place an X on the scale to indicate how your health has been over the past 7 days. Now, please tell me the number you marked on the scale.",,,integer,0,100,,[s_consent]='1',,,,,,
e_asthma,enrollment_questionnaire,"
<div style=""font-size: 1.25em"">Chronic Medical Conditions</div>

Asthma
",radio,"A17. Have you ever been told by a doctor or other health professional that you had asthma?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[s_consent]='1',,,,,,
e_asthma_treat,enrollment_questionnaire,,radio,"A18. Are you currently being treated for your asthma?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_asthma]='1',,,,,,
e_asthma_treatments,enrollment_questionnaire,"Asthma Treatments",descriptive,"A19. In the next set of questions, we list asthma treatments.  Please indicate the frequency with which you use them.",,,,,,,[e_asthma_treat]='1',,,,,,
e_inhaler,enrollment_questionnaire,,radio,"a. Rescue inhaler (including albuterol) ","0, Never|1, Monthly|2, Weekly|3, Daily|88, Unknown|99, Decline to respond",,,,,,[e_asthma_treat]='1',,,,,,
e_inhaled_steroids,enrollment_questionnaire,,radio,"b. Inhaled steroids (including Flovent)","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_asthma_treat]='1',,,,,,
e_oral_steroids,enrollment_questionnaire,,radio,"c. Oral steroids (like Prednisone)","0, Never|1, Monthly|2, Weekly|3, Daily|88, Unknown|99, Decline to respond",,,,,,[e_asthma_treat]='1',,,,,,
e_other_treat,enrollment_questionnaire,,radio,"d. Other treatments?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_asthma_treat]='1',,,,,,
e_other_treat_spec,enrollment_questionnaire,,text,"e. Other asthma treatment(s), specify:",,"ENTER 88 IF UNKNOWN OR 99 IF DECLINE TO RESPOND",,,,,[e_other_treat]='1',,,,,,
e_asthma_attack,enrollment_questionnaire,"Asthma (continued)",radio,"A20. During the <u>past 12 months</u>, have you had an episode of asthma or an asthma attack?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_asthma]='1',,,,,,
e_asthma_hosp,enrollment_questionnaire,,radio,"A21. Have you ever been hospitalized for asthma?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_asthma]='1',,,,,,
e_asthma_hosp_yr,enrollment_questionnaire,,text,"A21a. Specify the year of your most recent hospitalization for asthma:",,,integer,1970,2022,,"[e_asthma_hosp]='1' and [e_asthma_hosp_yr_uk]=""""",,,,,,
e_asthma_hosp_yr_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"[e_asthma_hosp]='1' and [e_asthma_hosp_yr]=""""",,,,,,
e_asthma_hosp_mon,enrollment_questionnaire,,radio,"A21b. Specify the month of your most recent hospitalization for asthma:","1, January|2, February|3, March|4, April|5, May|6, June|7, July|8, August|9, September|10, October|11, November|12, December|88, Unknown|99, Decline to respond",,,,,,[e_asthma_hosp]='1',,,,,,
e_ventilation,enrollment_questionnaire,,radio,"A22. Have you ever required mechanical ventilation for asthma?  (This means have you ever had a tube down your throat or been given CPAP or BiPAP, which is mechanical ventilation through a mask?)","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,"[e_asthma]='1' AND [e_asthma_hosp]='1'",,,,,,
e_intubated,enrollment_questionnaire,,radio,"A22a. Were you intubated (with a tube down your throat to help you breathe)? ","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_ventilation]='1',,,,,,
e_vent_mask,enrollment_questionnaire,,radio,"A22b. Did you get CPAP or BiPAP (ventilation through a mask)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_ventilation]='1',,,,,,
e_chronic,enrollment_questionnaire," ",radio,"A23. Have you been told by a healthcare provider that you had any other medical conditions besides asthma over the past 24 months?  Examples of chronic medical conditions include things like  chronic diabetes and HIV infection.  A healthcare provider may include your doctor, nurse, or midwife.","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[s_consent]='1',,,,,,
e_lung,enrollment_questionnaire,"A23. Health Conditions",radio,"a. Chronic lung disease other than asthma?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_tb,enrollment_questionnaire,,radio,"ai. Active Tuberculosis (TB)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_bronchitis,enrollment_questionnaire,,radio,"aii. Chronic bronchitis?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_cf,enrollment_questionnaire,,radio,"aiii. Cystic fibrosis?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_copd,enrollment_questionnaire,,radio,"aiv. Emphysema/Chronic obstructive pulmonary disease (COPD)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_apnea,enrollment_questionnaire,,radio,"av. Obstructive sleep apnea?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_oxygen,enrollment_questionnaire,,radio,"avi. Do you use oxygen at home?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_lung_premature,enrollment_questionnaire,,radio,"avii. Chronic lung disease of prematurity","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_lung]='1',,,,,,
e_lung_spec,enrollment_questionnaire,,text,"a_spec. Specify chronic lung disease if not listed above:",,,,,,,[e_lung]='1',,,,,,
e_metabolic,enrollment_questionnaire,,radio,"b. Chronic metabolic disease such as diabetes or thyroid disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_diabetes,enrollment_questionnaire,,radio,"bi. Diabetes mellitus Type I (insulin dependent) or Type II (non-insulin-dependent)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_metabolic]='1',,,,,,
e_diabetes_preg,enrollment_questionnaire,,radio,"bii. Was this during a pregnancy?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,"[e_diabetes]='1' and ([s_age]='1' or ([s_age_spec]>=18 and [s_age_spec]<=50))",,,,,,
e_thyroid,enrollment_questionnaire,,radio,"biii. Thyroid problems?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_metabolic]='1',,,,,,
e_metabolic_spec,enrollment_questionnaire,,text,"b_spec. Specify chronic metabolic disease if not listed above:",,,,,,,[e_metabolic]='1',,,,,,
e_blood,enrollment_questionnaire,,radio,"c. Blood disorders?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_beta_thal,enrollment_questionnaire,,radio,"ci. Beta thalassemia?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_blood]='1',,,,,,
e_alpha_thal,enrollment_questionnaire,,radio,"cii. Alpha thalassemia?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_blood]='1',,,,,,
e_aplastic,enrollment_questionnaire,,radio,"ciii. Aplastic anemia?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_blood]='1',,,,,,
e_coagulopathy,enrollment_questionnaire,,radio,"civ. Coagulopathy?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_blood]='1',,,,,,
e_sickle,enrollment_questionnaire,,radio,"cv. Sickle cell disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_blood]='1',,,,,,
e_blood_spec,enrollment_questionnaire,,text,"c_spec. Specify blood disorder if not listed above:",,,,,,,[e_blood]='1',,,,,,
e_hbp,enrollment_questionnaire,,radio,"d. Hypertension/high blood pressure?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_cvd,enrollment_questionnaire,,radio,"e. Cardiovascular disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_atherosclerotic,enrollment_questionnaire,,radio,"ei. Atherosclerotic cardiovascular disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_afib,enrollment_questionnaire,,radio,"eii. Atrial fibrillation?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_chd,enrollment_questionnaire,,radio,"eiii. Congenital heart disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_dvt,enrollment_questionnaire,,radio,"eiv. Had a deep vein thrombosis (DVT) in the past? ","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_heart_fail,enrollment_questionnaire,,radio,"ev. Heart failure/Congestive heart failure?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_mi,enrollment_questionnaire,,radio,"evi. Had a heart attack/myocardial infarction (MI) in the past?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_clot,enrollment_questionnaire,,radio,"evii. Had a blood clot in your lungs/pulmonary embolism in the past?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_cvd]='1',,,,,,
e_cvd_spec,enrollment_questionnaire,,text,"e_spec. Specify cardiovascular disease if not listed above: ",,,,,,,[e_cvd]='1',,,,,,
e_bladder,enrollment_questionnaire,,radio,"f. Bladder/kidney disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_liver,enrollment_questionnaire,,radio,"g. Liver disease?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_immune,enrollment_questionnaire,,radio,"h. Immunocompromised condition such as HIV infection or cancer?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_aids,enrollment_questionnaire,,radio,"hi. AIDS or HIV infection with a CD4 count < 200?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_hiv,enrollment_questionnaire,,radio,"hii. HIV infection with a CD4 count >=200? ","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_imsuppress,enrollment_questionnaire,,radio,"hiii. Taken immunosuppressive therapy (within the past 12 months)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_imsuppress_spec,enrollment_questionnaire,,text,"hiii_spec. Specify immunosuppressive therapy:",,,,,,,[e_imsuppress]='1',,,,,,
e_leukemia,enrollment_questionnaire,,radio,"hiv. Leukemia (current/in treatment or diagnosed in last 12 months)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_cancer,enrollment_questionnaire,,radio,"hv. Currently in treatment for or been diagnosed with metastatic cancer? ","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_steroid,enrollment_questionnaire,,radio,"hvi. Currently taking long term steroid therapy (for more than 2 weeks at a time)?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_organ,enrollment_questionnaire,,radio,"hvii. Ever had an organ transplant?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_immune]='1',,,,,,
e_immune_spec,enrollment_questionnaire,,text,"h_spec. Specify immunocompromised condition if not listed above:",,,,,,,[e_immune]='1',,,,,,
e_neuro,enrollment_questionnaire,,radio,"i. Neurologic/neuromuscular or seizure disorder?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_neuro_spec,enrollment_questionnaire,,text,"i_spec. Specify neurologic/neuromuscular or seizure disorder:",,,,,,,[e_neuro]='1',,,,,,
e_autoimmune,enrollment_questionnaire,,radio,"j. Rheumatologic/Autoimmune condition?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_autoimmune_spec,enrollment_questionnaire,,text,"j_spec. Specify rheumatologic/Autoimmune condition:",,,,,,,[e_autoimmune]='1',,,,,,
e_mental,enrollment_questionnaire,,radio,"k. Mental health condition?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_chronic]='1',,,,,,
e_depression,enrollment_questionnaire,,radio,"ki. Depression?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_mental]='1',,,,,,
e_anxiety,enrollment_questionnaire,,radio,"kii. Anxiety disorder?","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[e_mental]='1',,,,,,
e_mental_spec,enrollment_questionnaire,,text,"k_spec. Specify mental health condition if not listed above:",,,,,,,[e_mental]='1',,,,,,
e_chronic_other,enrollment_questionnaire,,text,"l. Other:",,,,,,,[e_chronic]='1',,,,,,
e_pregnant,enrollment_questionnaire," ",radio,"A24. Have you ever been pregnant before? ","1, Yes|0, No|88, Unknown| 99, Decline to respond",,,,,,[s_consent]='1',,,,,,
e_prevpregs,enrollment_questionnaire,"Previous Pregnancies",text,"A25. How many pregnancies have you had previously? ",,,integer,1,10,,[e_pregnant]='1',,,,,,
e_preg1,enrollment_questionnaire,,descriptive,"
Pregnancy 1

",,,,,,,[e_prevpregs]>0,,,,,,
e_preg1_res,enrollment_questionnaire,,radio,"A25a. For your <u>first</u> pregnancy, what was the outcome?","1, Live birth, vaginal delivery|2, Live birth, cesarean delivery|3, Miscarriage/spontaneous abortion (<20 weeks gestation)|4, Elective abortion|5, Ectopic pregnancy|6, Stillbirth (>20 weeks gestation)",,,,,,[e_prevpregs]>0,,,,,,
e_preg1_wks,enrollment_questionnaire,,text,"A25b. At how many weeks was the baby delivered?",,,number,0,45,,"([e_preg1_res]='1' or [e_preg1_res]='2') and [e_preg1_wks_uk]=""""",,,,,,
e_preg1_wks_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg1_res]='1' or [e_preg1_res]='2') and [e_preg1_wks]=""""",,,,,,
e_preg1_weight,enrollment_questionnaire,,descriptive,"A25c. What was the baby's birthweight?",,,,,,,"([e_preg1_res]='1' or [e_preg1_res]='2')",,,,,,
e_preg1_lbs,enrollment_questionnaire,,text,Pounds:,,lbs,number,0,,,"([e_preg1_res]='1' or [e_preg1_res]='2') and [e_preg1_weight_uk]=""""",,,,,,
e_preg1_oz,enrollment_questionnaire,,text,Ounces:,,oz,number,0,16,,"([e_preg1_res]='1' or [e_preg1_res]='2') and [e_preg1_weight_uk]=""""",,,,,,
e_preg1_weight_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg1_res]='1' or [e_preg1_res]='2') and [e_preg1_lbs]="""" and [e_preg1_oz]=""""",,,,,,
e_preg1_comps,enrollment_questionnaire,,checkbox,"A25d. Did you have any of the following pregnancy complications during your first pregnancy?","1, Birth defects in fetus/infant | 2, Emergency c-section | 3, Pre-eclampsia/eclampsia | 4, Gestational diabetes | 5, Gestational hypertension | 6, Other complication | 0, None of the above","CHECK ALL THAT APPLY",,,,,"[e_preg1_res]<>""""",,,,,," @NONEOFTHEABOVE='0'"
e_preg1_bd,enrollment_questionnaire,,text,"A25di. Birth defect, specify:",,,,,,,[e_preg1_comps(1)]='1',,,,,,
e_preg1_comps_spec,enrollment_questionnaire,,text,"A25dii. Other complication, specify:",,,,,,,[e_preg1_comps(6)]='1',,,,,,
e_preg2,enrollment_questionnaire,,descriptive,"
Pregnancy 2

",,,,,,,[e_prevpregs]>1,,,,,,
e_preg2_res,enrollment_questionnaire,,radio,"A25a. For your <u>second</u> pregnancy, what was the outcome?","1, Live birth, vaginal delivery|2, Live birth, cesarean delivery|3, Miscarriage/spontaneous abortion (<20 weeks gestation)|4, Elective abortion|5, Ectopic pregnancy|6, Stillbirth (>20 weeks gestation)",,,,,,[e_prevpregs]>1,,,,,,
e_preg2_wks,enrollment_questionnaire,,text,"A25b. At how many weeks was the baby delivered?",,,number,0,45,,"([e_preg2_res]='1' or [e_preg2_res]='2') and [e_preg2_wks_uk]=""""",,,,,,
e_preg2_wks_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg2_res]='1' or [e_preg2_res]='2') and [e_preg2_wks]=""""",,,,,,
e_preg2_weight,enrollment_questionnaire,,descriptive,"A25c. What was the baby's birthweight?",,,,,,,"([e_preg2_res]='1' or [e_preg2_res]='2')",,,,,,
e_preg2_lbs,enrollment_questionnaire,,text,Pounds:,,lbs,number,0,,,"([e_preg2_res]='1' or [e_preg2_res]='2') and [e_preg2_weight_uk]=""""",,,,,,
e_preg2_oz,enrollment_questionnaire,,text,Ounces:,,oz,number,0,16,,"([e_preg2_res]='1' or [e_preg2_res]='2') and [e_preg2_weight_uk]=""""",,,,,,
e_preg2_weight_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg2_res]='1' or [e_preg2_res]='2') and [e_preg2_lbs]="""" and [e_preg2_oz]=""""",,,,,,
e_preg2_comps,enrollment_questionnaire,,checkbox,"A25d. Did you have any of the following pregnancy complications during your second pregnancy?","1, Birth defects in fetus/infant | 2, Emergency c-section | 3, Pre-eclampsia/eclampsia | 4, Gestational diabetes | 5, Gestational hypertension | 6, Other complication | 0, None of the above","CHECK ALL THAT APPLY",,,,,"[e_preg2_res]<>""""",,,,,," @NONEOFTHEABOVE='0'"
e_preg2_bd,enrollment_questionnaire,,text,"A25di. Birth defect, specify:",,,,,,,[e_preg2_comps(1)]='1',,,,,,
e_preg2_comps_spec,enrollment_questionnaire,,text,"A25dii. Other complication, specify:",,,,,,,[e_preg2_comps(6)]='1',,,,,,
e_preg3,enrollment_questionnaire,,descriptive,"
Pregnancy 3

",,,,,,,[e_prevpregs]>2,,,,,,
e_preg3_res,enrollment_questionnaire,,radio,"A25a. For your <u>third</u> pregnancy, what was the outcome?","1, Live birth, vaginal delivery|2, Live birth, cesarean delivery|3, Miscarriage/spontaneous abortion (<20 weeks gestation)|4, Elective abortion|5, Ectopic pregnancy|6, Stillbirth (>20 weeks gestation)",,,,,,[e_prevpregs]>2,,,,,,
e_preg3_wks,enrollment_questionnaire,,text,"A25b. At how many weeks was the baby delivered?",,,number,0,45,,"([e_preg3_res]='1' or [e_preg3_res]='2') and [e_preg3_wks_uk]=""""",,,,,,
e_preg3_wks_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg3_res]='1' or [e_preg3_res]='2') and [e_preg3_wks]=""""",,,,,,
e_preg3_weight,enrollment_questionnaire,,descriptive,"A25c. What was the baby's birthweight?",,,,,,,"([e_preg3_res]='1' or [e_preg3_res]='2')",,,,,,
e_preg3_lbs,enrollment_questionnaire,,text,Pounds:,,lbs,number,0,,,"([e_preg3_res]='1' or [e_preg3_res]='2') and [e_preg3_weight_uk]=""""",,,,,,
e_preg3_oz,enrollment_questionnaire,,text,Ounces:,,oz,number,0,16,,"([e_preg3_res]='1' or [e_preg3_res]='2') and [e_preg3_weight_uk]=""""",,,,,,
e_preg3_weight_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg3_res]='1' or [e_preg3_res]='2') and [e_preg3_lbs]="""" and [e_preg3_oz]=""""",,,,,,
e_preg3_comps,enrollment_questionnaire,,checkbox,"A25d. Did you have any of the following pregnancy complications during your third pregnancy?","1, Birth defects in fetus/infant | 2, Emergency c-section | 3, Pre-eclampsia/eclampsia | 4, Gestational diabetes | 5, Gestational hypertension | 6, Other complication | 0, None of the above","CHECK ALL THAT APPLY",,,,,"[e_preg3_res]<>""""",,,,,," @NONEOFTHEABOVE='0'"
e_preg3_bd,enrollment_questionnaire,,text,"A25di. Birth defect, specify:",,,,,,,[e_preg3_comps(1)]='1',,,,,,
e_preg3_comps_spec,enrollment_questionnaire,,text,"A25dii. Other complication, specify:",,,,,,,[e_preg3_comps(6)]='1',,,,,,
e_preg4,enrollment_questionnaire,,descriptive,"
Pregnancy 4

",,,,,,,[e_prevpregs]>3,,,,,,
e_preg4_res,enrollment_questionnaire,,radio,"A25a. For your <u>fourth</u> pregnancy, what was the outcome?","1, Live birth, vaginal delivery|2, Live birth, cesarean delivery|3, Miscarriage/spontaneous abortion (<20 weeks gestation)|4, Elective abortion|5, Ectopic pregnancy|6, Stillbirth (>20 weeks gestation)",,,,,,[e_prevpregs]>3,,,,,,
e_preg4_wks,enrollment_questionnaire,,text,"A25b. At how many weeks was the baby delivered?",,,number,0,45,,"([e_preg4_res]='1' or [e_preg4_res]='2') and [e_preg4_wks_uk]=""""",,,,,,
e_preg4_wks_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg4_res]='1' or [e_preg4_res]='2') and [e_preg4_wks]=""""",,,,,,
e_preg4_weight,enrollment_questionnaire,,descriptive,"A25c. What was the baby's birthweight?",,,,,,,"([e_preg4_res]='1' or [e_preg4_res]='2')",,,,,,
e_preg4_lbs,enrollment_questionnaire,,text,Pounds:,,lbs,number,0,,,"([e_preg4_res]='1' or [e_preg4_res]='2') and [e_preg4_weight_uk]=""""",,,,,,
e_preg4_oz,enrollment_questionnaire,,text,Ounces:,,oz,number,0,16,,"([e_preg4_res]='1' or [e_preg4_res]='2') and [e_preg4_weight_uk]=""""",,,,,,
e_preg4_weight_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg4_res]='1' or [e_preg4_res]='2') and [e_preg4_lbs]="""" and [e_preg4_oz]=""""",,,,,,
e_preg4_comps,enrollment_questionnaire,,checkbox,"A25d. Did you have any of the following pregnancy complications during your fourth pregnancy?","1, Birth defects in fetus/infant | 2, Emergency c-section | 3, Pre-eclampsia/eclampsia | 4, Gestational diabetes | 5, Gestational hypertension | 6, Other complication | 0, None of the above","CHECK ALL THAT APPLY",,,,,"[e_preg4_res]<>""""",,,,,," @NONEOFTHEABOVE='0'"
e_preg4_bd,enrollment_questionnaire,,text,"A25di. Birth defect, specify:",,,,,,,[e_preg4_comps(1)]='1',,,,,,
e_preg4_comps_spec,enrollment_questionnaire,,text,"A25dii. Other complication, specify:",,,,,,,[e_preg4_comps(6)]='1',,,,,,
e_preg5,enrollment_questionnaire,,descriptive,"
Pregnancy 5

",,,,,,,[e_prevpregs]>4,,,,,,
e_preg5_res,enrollment_questionnaire,,radio,"A25a. For your <u>fifth</u> pregnancy, what was the outcome?","1, Live birth, vaginal delivery|2, Live birth, cesarean delivery|3, Miscarriage/spontaneous abortion (<20 weeks gestation)|4, Elective abortion|5, Ectopic pregnancy|6, Stillbirth (>20 weeks gestation)",,,,,,[e_prevpregs]>4,,,,,,
e_preg5_wks,enrollment_questionnaire,,text,"A25b. At how many weeks was the baby delivered?",,,number,0,45,,"([e_preg5_res]='1' or [e_preg5_res]='2') and [e_preg5_wks_uk]=""""",,,,,,
e_preg5_wks_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg5_res]='1' or [e_preg5_res]='2') and [e_preg5_wks]=""""",,,,,,
e_preg5_weight,enrollment_questionnaire,,descriptive,"A25c. What was the baby's birthweight?",,,,,,,"([e_preg5_res]='1' or [e_preg5_res]='2')",,,,,,
e_preg5_lbs,enrollment_questionnaire,,text,Pounds:,,lbs,number,0,,,"([e_preg5_res]='1' or [e_preg5_res]='2') and [e_preg5_weight_uk]=""""",,,,,,
e_preg5_oz,enrollment_questionnaire,,text,Ounces:,,oz,number,0,16,,"([e_preg5_res]='1' or [e_preg5_res]='2') and [e_preg5_weight_uk]=""""",,,,,,
e_preg5_weight_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg5_res]='1' or [e_preg5_res]='2') and [e_preg5_lbs]="""" and [e_preg5_oz]=""""",,,,,,
e_preg5_comps,enrollment_questionnaire,,checkbox,"A25d. Did you have any of the following pregnancy complications during your fifth pregnancy?","1, Birth defects in fetus/infant | 2, Emergency c-section | 3, Pre-eclampsia/eclampsia | 4, Gestational diabetes | 5, Gestational hypertension | 6, Other complication | 0, None of the above","CHECK ALL THAT APPLY",,,,,"[e_preg5_res]<>""""",,,,,," @NONEOFTHEABOVE='0'"
e_preg5_bd,enrollment_questionnaire,,text,"A25di. Birth defect, specify:",,,,,,,[e_preg5_comps(1)]='1',,,,,,
e_preg5_comps_spec,enrollment_questionnaire,,text,"A25dii. Other complication, specify:",,,,,,,[e_preg5_comps(6)]='1',,,,,,
e_preg6,enrollment_questionnaire,,descriptive,"
Pregnancy 6

",,,,,,,[e_prevpregs]>5,,,,,,
e_preg6_res,enrollment_questionnaire,,radio,"A25a. For your <u>sixth</u> pregnancy, what was the outcome?","1, Live birth, vaginal delivery|2, Live birth, cesarean delivery|3, Miscarriage/spontaneous abortion (<20 weeks gestation)|4, Elective abortion|5, Ectopic pregnancy|6, Stillbirth (>20 weeks gestation)",,,,,,[e_prevpregs]>5,,,,,,
e_preg6_wks,enrollment_questionnaire,,text,"A25b. At how many weeks was the baby delivered?",,,number,0,45,,"([e_preg6_res]='1' or [e_preg6_res]='2') and [e_preg6_wks_uk]=""""",,,,,,
e_preg6_wks_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg6_res]='1' or [e_preg6_res]='2') and [e_preg6_wks]=""""",,,,,,
e_preg6_weight,enrollment_questionnaire,,descriptive,"A25c. What was the baby's birthweight?",,,,,,,"([e_preg6_res]='1' or [e_preg6_res]='2')",,,,,,
e_preg6_lbs,enrollment_questionnaire,,text,Pounds:,,lbs,number,0,,,"([e_preg6_res]='1' or [e_preg6_res]='2') and [e_preg6_weight_uk]=""""",,,,,,
e_preg6_oz,enrollment_questionnaire,,text,Ounces:,,oz,number,0,16,,"([e_preg6_res]='1' or [e_preg6_res]='2') and [e_preg6_weight_uk]=""""",,,,,,
e_preg6_weight_uk,enrollment_questionnaire,,radio," ","88, Unknown|99, Decline to respond",,,,,,"([e_preg6_res]='1' or [e_preg6_res]='2') and [e_preg6_lbs]="""" and [e_preg6_oz]=""""",,,,,,
e_preg6_comps,enrollment_questionnaire,,checkbox,"A25d. Did you have any of the following pregnancy complications during your sixth pregnancy?","1, Birth defects in fetus/infant | 2, Emergency c-section | 3, Pre-eclampsia/eclampsia | 4, Gestational diabetes | 5, Gestational hypertension | 6, Other complication | 0, None of the above","CHECK ALL THAT APPLY",,,,,"[e_preg6_res]<>""""",,,,,," @NONEOFTHEABOVE='0'"
e_preg6_bd,enrollment_questionnaire,,text,"A25di. Birth defect, specify:",,,,,,,[e_preg6_comps(1)]='1',,,,,,
